filename,journal,author1name,author1discipline,citationcount,journalhindex,year,doiurl
Abdullah Democratization 2020.pdf,Democratization,Abdullah,Public Policy,22,67,2020,https://doi.org/10.1080/13510347.2020.1764940
Ahmed Perspectives on Politics 2023.pdf,Perspectives on Politics,Ahmed,Political Science,16,97,2023,https://doi.org/10.1017/S1537592722001062
Akyuz and Hess Mediterranean Quarterly 2018.pdf,Mediterranean Quarterly,Akyuz,Public Policy,26,19,2018,https://doi.org/10.1215/10474552-6898075
Andersen 2019 Comparative Politics.pdf,Comparative Politics,Andersen,,17,75,2019,https://www.ingentaconnect.com/content/cuny/cp/2019/00000051/00000004/art00009
Arat Politics and Gender 2022.pdf,Politics and Gender,Arat,Political Science,65,53,2022,https://doi.org/10.1017/S1743923X21000192
Bakke and Sitter Perspectives on Politics 2022.pdf,Perspectives on Politics,Bakke,Political Science,96,97,2022,https://doi.org/10.1017/S1537592720001292
Bartels Daxecker Hyde Lindberg and Nooruddin International Studies Review 2023.pdf,International Studies Review,Bartels,Political Science,1,71,2023,https://doi.org/10.1093/isr/viad019
Bauer and Becker Perspectives on Public Management and Governance 2020.pdf,Perspectives on Public Management and Governance,Bauer,Public Administration,170,22,2020,https://doi.org/10.1093/ppmgov/gvz026
Bellamy and Kroger Swiss Political Science Review 2021.pdf,Swiss Political Science Review,Bellamy,Political Science,37,41,2021,https://doi.org/10.1111/spsr.12448
Bellamy Kroger and Lorimer East European Politics and Societies and Cultures 2023.pdf,East European Politics and Societies and Cultures,Bellamy,Political Science,3,47,2023,https://doi.org/10.1177/08883254221096168
Bermeo Journal of Democracy 2016.pdf,Journal of Democracy,Bermeo,Political Science,1720,104,2016,https://doi.org/10.1353/jod.2016.0012
Bermeo Journal of Democracy 2022.pdf,Journal of Democracy,Bermeo,Political Science,14,104,2022,https://doi.org/10.1353/jod.2022.0054
Bernhard Slavic Review 2021.pdf,Slavic Review,Bernhard,Political Science,62,41,2021,https://doi.org/10.1017/slr.2021.145
Blauberger and Kelemen Journal of European Public Policy 2017.pdf,Journal of European Public Policy,Blauberger,Political Science,136,132,2017,https://doi.org/10.1080/13501763.2016.1229357
Braley Lenz Adjodah Rahnama and Pentland Nature Human Behaviour 2023.pdf,Nature Human Behaviour,Braley,Political Science,17,98,2023,https://doi.org/10.1038/s41562-023-01594-w
Bucholc Hague Journal on the Rule of Law 2019.pdf,Hague Journal on the Rule of Law,Bucholc,Sociology,52,24,2019,https://doi.org/10.1007/s40803-018-0080-7
Castaldo Europe-Asia Studies 2020.pdf,Europe-Asia Studies,Castaldo,Political Science,52,66,2020,https://doi.org/10.1080/09668136.2020.1817860
Cianetti and Hanley 2021 Journal of Democracy.pdf,Journal of Democracy,Cianetti,Political Science,80,104,2021,https://doi.org/10.1353/jod.2021.0001
Cianetti Dawson and Hanley 2018 East European Politics.pdf,East European Politics,Cianetti,Political Science,332,30,2018,https://doi.org/10.1080/21599165.2018.1491401
Corrales European Review of Latin American and Caribbean Studies 2020.pdf,European Review of Latin American and Caribbean Studies ,Corrales,Political Science,74,19,2020,http://doi.org/10.32992/erlacs.105
Dresden and Howard Democratization 2016.pdf,Democratization,Dresden,Political Science,110,67,2016,https://doi.org/10.1080/13510347.2015.1045884
Druckman Advances in Political Psychology 2023.pdf,Advances in Political Psychology,Druckman,Political Science,3,117,2023,https://doi.org/10.1111/pops.12942
EladStrenger BenShitrit and HirschHoefler European Journal of Political Research 2024.pdf,European Journal of Political Research,EladStrenger,Political Science,0,118,2024,https://doi.org/10.1111/1475-6765.12667
Enyedi Perspectives on Politics 2018.pdf,Perspectives on Politics,Enyedi,Political Science,100,97,2018,https://doi.org/10.1017/S1537592718002165
Finkel Horowitz and RojoMendoza Journal of Politics 2012.pdf,Journal of Politics,Finkel,Political Science,106,147,2012,https://doi.org/10.1017/S0022381611001162
Fossati Democratization 2024.pdf,Democratization,Fossati,Public Policy,3,67,2024,https://doi.org/10.1080/13510347.2023.2210504
Gandhi Journal of Politics 2019.pdf,Journal of Politics,Gandhi,Political Science,35,147,2019,https://doi.org/10.1086/700653
Gibler and Randazzo American Journal of Political Science 2011.pdf,American Journal of Political Science,Gibler,Political Science,160,204,2011,https://doi.org/10.1111/j.1540-5907.2010.00504.x
Gidengil Stolle and Bergeron-Boutin 2022 European Journal of Political Research.pdf,European Journal of Political Research,Gidengil,Political Science,58,118,2022,https://doi.org/10.1111/1475-6765.12502
Ginsburg Berkeley Journal of International Law 2019.pdf,Berkeley Journal of International Law,Ginsburg,Law,12,29,2019,https://doi.org/10.15779/Z38K35MD9M
Gora and de Wilde Journal of European Public Policy 2022.pdf,Journal of European Public Policy,Gora,History,65,132,2022,https://doi.org/10.1080/13501763.2020.1855465
Greskovits Global Policy 2015.pdf,Global Policy,Greskovits,Political Science,323,47,2015,https://doi.org/10.1111/1758-5899.12225
Grillo and Prato American Journal of Political Science 2023.pdf,American Journal of Political Science,Grillo,Economics,46,204,2023,https://doi.org/10.1111/ajps.12672
Grumbach American Political Science Review 2023.pdf,American Political Science Review,Grumbach,Political Science,72,203,2023,https://doi.org/10.1017/S0003055422000934
Haggard and Kaufman Journal of Democracy 2021.pdf,Journal of Democracy,Haggard,Political Science,107,104,2021,https://doi.org/10.1353/jod.2021.0050
